序号	年级	章节	涉及模块	题目	答案	答题过程
1114				4．（5分）当小红3岁时，妈妈的年龄和小红今年的年龄相同；当妈妈78岁时，小红的年龄和妈妈今年的年龄相同．妈妈今年　   　岁．	53	【解答】解：设妈妈与小红的年龄差为x岁，则小红现在的年龄是x+3岁，妈妈现在的年龄是78﹣x岁，根据题意可得方程： x+3+x＝78﹣x   2x+3＝78﹣x  2x+x＝78﹣3     3x＝75      x＝25 78﹣25＝53（岁） 答：妈妈今年53岁． 故答案为：53．
594	六年级	第10届	巧算	计算： 1949×2012 / (1949 + 1949^2) + 1949×2012 / (1950 + 1950^2) + 1949×2012 / (1951 + 1951^2) + 1949×2012 / (1952 + 1952^2) + ... + 1949×2012 / (2011 + 2011^2)	63	原式=1949×2012×(1/(1949×1950) + 1/(1950×1951) + 1/(1951×1952) + ... + 1/(2011×2012)) =1949×2012×(1/1949 - 1/2012) =2012 - 1949 = 63.
599	六年级	第10届	概率	某网络游戏中抽出圣者套装，包含圣剑、圣盔、圣甲3件装备。小强购买了4个圣装宝盒，打开每个圣装宝盒将随机获得上述3件装备之一。那么，小强打开这4个圣装宝盒后，能集齐一套完整圣者套装的可能性是 ______ .	 4/9	4个圣装宝盒有3^4=81种可能性，如果含有3种不同装备，则先选择一个有2件的有3种可能，选择哪两个宝盒有这个装备有 4 × 3 ÷ 2 = 6 种可能，剩下的两个排列有2种可能，共有 3 × 6 × 2 = 36 (种)可能。所求概率为 36/81 = 4/9.
744	五年级	第十三讲	牛吃草问题	2006年夏天，我国某地区遭遇了严重干旱，政府为了解决村民饮水问题，在山下的一眼 泉水旁修了一个蓄水池，每小时有40立方米泉水注入池中.第一周开动5台抽水机2.5小时就 把一池水抽完，接着第二周开动8台抽水机1.5小时就把一池水抽完.后来由于旱情严重，开动 13台抽水机同时抽水，请问几小时可以把这池水抽完?	0.9小时	设一台抽水机一小时的抽水量为1份，则泉水的注水速度是 (5×2.5-8×1.5)÷(2.5-1.5)=0.5(份), 池水的原有水量为2. 5×5- 2 . 5×0. 5 = 1 1 . 2 5 (份). 所以，使用13台抽水机，抽完池水需要的时间为11.25÷(13-0.5)=0.9(小时).
1010				5．（5分）将一个长6厘米，宽5厘米，高4厘米的长方体的表面刷上红漆，然后将这个长方体切割成棱长为1厘米的小正方体，则任何一面都没有被刷漆的小正方体有　   　个．	24	（高﹣2）；由此代入数据即可解决问题． 【解答】解：（6﹣2）×（5﹣2）×（4﹣2）÷（1×1×1）， ＝4×3×2÷1， ＝24（个）， 答：则任何一面都没有被刷漆的小正方体有24个． 故答案为：24．
1282	五年级			小胖用700元买了一件大衣、一条裤子和一双皮鞋．小亚问他每件商品的价格，小胖告诉他：大衣比裤子贵340元，大衣比鞋子和裤子的总和还贵180元，裤子的价格是　   　元．	100	解：设每条裤子x元， x+340+x+340+x﹣180﹣x＝700，              2x+500＝700，          2x+500﹣500＝700﹣500，               2x÷2＝200÷2，                   x＝100， 答：裤子的价格是100元． 故答案为：100．
483	四年级	第二讲	整数巧算	 计算：999999×555555-222222×999999=	333332666667	原式=999999×(555555-222222) =999999×333333 =(1000000-1)×333333 =333332666667 
1549				一只旧钟的分针和时针每重合一次，需要经过标准时间66分．那么，这只旧钟的24小时比标准时间的24小时（　　） A．快12分 B．快6分 C．慢6分 D．慢12分	D	解：66×（24﹣2） ＝66×22 ＝1452（分钟） 60×24＝1440（分钟） 1452﹣1440＝12（分钟） 即这只旧钟的24小时比标准时间的24小时慢12分钟． 故选：D．
317	四年级	第九讲	应用题综合一	"一人看见山上有一群羊，他自言自语道：“我如果有这些羊，再加上这些羊，然后加上这 些羊的一半，又加上这些羊一半的一半，最后再加上我家里的那一只，一共有100只 羊"". 山上的羊群共有几只 ."	36	设这群羊为一份，那么1+1+0.5+0.25=2.75(份),2.75份=(100- 1)只，所以 这群羊有99÷2.75=36(只)
1465				计算：2013﹣2010+2007﹣2004+…+9﹣6+3＝　　．	1008	解：2013﹣2010+2007﹣2004+…+9﹣6+3， ＝（2013﹣2010）+（2007﹣2004）+…+（9﹣6）+3， ＝3×336， ＝1008； 故答案为：1008．
860	五年级	第二十五讲	因数与倍数	将一个数的各位数字相加得到新的一个数称为一次操作，经连续若干次这样的操作后 可以变为6的数称为“好数”,那么不超过2012的“好数”的个数为        ,这些“好数”的最大 公因数是	223;3	一个数与其各位数字之和除以9的余数相同，显然这个数除以9余6,这是一个同 余类，其内部的数从小到大排成一个等差数列，公差为9,首项为6,末项为2004,其个数为 (2004-6)÷9+1=223.其最大公因数为3.
213	六年级	第十二讲	应用题综合	我国除了用公历纪年法外，在很多场合还采用干支纪年法表示年代.天干有10个：甲、 乙、丙、丁、戊、已、庚、辛、壬、癸.地支有12个：子、丑、寅、卯、辰、巳、午、未、申、酉、戌、亥.将天干  的10个汉字与地支的12个汉字循环对应排列成如下两行： ……甲、乙、丙、丁、戊、已、庚、辛、壬、癸、甲、乙、丙、丁、戊…… ……子、丑、寅、卯、辰、巳、午、未、申、酉、戌、亥、子、丑、寅…… 例如：公历2000年，干支纪年为庚辰年.那么公历2003年，干支纪年为          年. 请你阅读下面的故事： 我国著名的数学家苏步青在1983年讲过一个学文史的也要学点数学的故事：“我有一个学 生研究古典文学，送我好几本研究苏东坡的文集，我翻看了一篇《赤壁赋》。《赤壁赋》是苏东坡哪 一年写的?书上印的是1080年.苏东坡生于1037年，活了66岁. 《赤壁赋》开头几句就是：壬戌 之秋，七月既望.大家知道1982年是干支纪年法的壬戌年.我一看苏东坡写《赤壁赋》的年代是 1080年，就知道一定是错的. ” 请说明苏步青是通过怎样的“神机妙算”得出这个结论的?并推算苏东坡是公历哪一年写 的《赤壁赋》?	癸未 1082年	因为[10,12]=60,所以干支纪年法每60年一循环，1982年是壬戌年，《赤壁赋》也 是壬戌年写的，因此公历1982年与写《赤壁赋》的公历年相差应是60的倍数，但是1982-1080 =902,902不是60的倍数，所以《赤壁赋》不是在1080年写的.1037+66=1103,在1037年至 1103年间与1982相差60的倍数的只有1982-60×15=1082,所以《赤壁赋》是苏东坡1082年 写的.
1246	四年级			有一个学生在做计算题时，最后一步应当除以20，但却错误地加上20，因而得到错误的结果是180．请问这道计算题的正确得数应是　   　．	8	解：设最后一步之前运算的结果是a， a+20＝180， 那么：a＝180﹣20＝160； 正确的计算结果是：a÷20＝160÷20＝8； 故答案为：8．
353	四年级	第十一讲	基本行程	小明和小新在同一街道，小明家在学校东600米处，小新家在学校西200米处，那么小新 家距离小明家几米 .	800	600+200=800(米).
1193				8．（5分）在纸上画2个圆，最多可得到2个交点，画3个圆，最多可得到6个交点，那么，如果在纸上画10个圆，最多可得到　   　个交点．	90	【解答】解：递推分析： 画第1个圆，交点为0个， 画第2个圆，它与第1个圆交于两点，交点有0+2＝2个， 画第3个圆，它与前两个圆分别相较于两点，交点有0+2+4＝6个， … 画第10个圆，它与前面9个圆分别交于两点，交点个数：0+2+4+6+…+18＝90个； 故本题答案为：90．
519	六年级	第15届	概率	两个立方体骰子上面的点数设置是非标准的，其中一个是1, 2, 2, 5, 5, 5, 另一个是1, 1, 2, 4, 5, 5. 用这样两个骰子一起投掷一次，点数之和恰好等于6可能性（概率）为          （用最简分数表示）。	45795	掷出骰子的可能共有 6 × 6 = 36种，能得到和为6的有10种，所以可能性为 10/36 = 5/18.
304	四年级	第八讲	加乘综合	 甲、乙、丙三个组，甲组6人，乙组5人，丙组4人，现每组各选I 人一起参加会议，一共有几种选法；如果三组共同推选一个代表，有几种选法.	120；15	各选1人时：甲组选1人有6种选法，乙组选1人有5种选法，丙组选1人有4种选  法.所以有6×5×4=120(种). 共同推选1人时：有6+5+4=15(种)选法.
1798				有0、1、2、3四个数字，从中任选3个数字组成三位数，其中像123、201这样的数称为没有数字重复的三位数；像112、333这样的数称为有数字重复的三位数。那么所有这些有这四个数字组成的不同三位数中： 一共有____个没有重复数字重复的双数（偶数）； 一共有____个可以有重复数字重复的单数（奇数）。	10；24	（1）三位数为偶数，则个位可以是0或2；如果个位是0，则百位有3种选择，十位有2种选择，共3x2=6种;如果个位是2，则百位有2种选择，十位有2种选择，共2x2=4种，一共 6+4=10 种. (2)三位数位奇数，则个位可以是1或3，有两种选择，百位有三种选择，十位有四种选择，共 2X3x4=24 种选择解:根据题干分析可得: (1)三位数为偶数，则个位可以是0或 2:如果个位是0，则百位有3种选择，十位有2种选择，共3x2=6(种);如果个位是 2，则百位有2种选择，十位有2种选择，共2x2=4(种) 一共6+4=10(种) (2)三位数位奇数，则个位可以是1或3，有两种选择，百位有三种选择，十位有四种选择，共有:2x3x4=24(种)
1869	三年级			\text{有 } A, \ B \ \text{两个正整数，} \ A \ \text{的各位数字之和为 } 19, \ B \ \text{的各位数字之和为 } 20, \\ \text{两数相加时进位两次，那么 } (A + B) \ \text{的各位数字之和是（\quad）。}	21	\text{进位 } 1 \ \text{次，数字和减少 } 9, \ \text{所以 } A + B \ \text{的数字和为 } 19 + 20 - 2 \times 9 = 21.
1428				在由1、3、4、7、9组成的没有重复数字的数中，是9的倍数的有（　　）个． A．1 B．2 C．3 D．4	A	解：如果能被9整除，那么这个数的各位数字和必须能被9整除， 这样的组合可能是由一个数字9组成数是9， 这样共有1种． 故选：A．
472	四年级	第二讲	整数巧算	  计算：(99999+9999+999+99+9)÷9=	12345	原式=9×(11111+1111+111+11+1)÷9 =11111+1111+111+11+1 =12345
632				若三个不同的质数的和是53，则这样的三个质数有__________组．	11 组	枚举：53=43+3+7=41+5+7=37+5+11=37+3+13=31+5+17=31+3+19=29+11+13=29+7+17=29+5+19=23+11+19=23+13+17
